<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
<meta message key_signature key='D' time=0>
note_on channel=0 note=47 velocity=64 time=10
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=54 velocity=64 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=59 velocity=64 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=61 velocity=64 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=71 velocity=64 time=24
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=56 velocity=64 time=48
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=68 velocity=64 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=71 velocity=64 time=24
note_off channel=0 note=71 velocity=64 time=1104
note_on channel=0 note=57 velocity=64 time=96
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=69 velocity=64 time=24
note_on channel=0 note=57 velocity=64 time=390
note_on channel=0 note=64 velocity=64 time=30
note_off channel=0 note=69 velocity=64 time=12
note_on channel=0 note=67 velocity=64 time=18
note_off channel=0 note=57 velocity=64 time=804
note_off channel=0 note=64 velocity=64 time=30
note_off channel=0 note=67 velocity=64 time=30
note_on channel=0 note=50 velocity=64 time=126
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=64 velocity=64 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=66 velocity=64 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=62 velocity=64 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=54 velocity=64 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=50 velocity=64 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=64 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=57 velocity=64 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=64 time=24
note_on channel=0 note=57 velocity=64 time=0
note_on channel=0 note=50 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=216
