<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='None' time=0>
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=432
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=39 velocity=80 time=48
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=432
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=49 velocity=80 time=48
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
<meta message key_signature key='A' time=24>
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
control_change channel=0 control=7 value=90 time=14
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
note_on channel=0 note=52 velocity=80 time=10
note_off channel=0 note=52 velocity=64 time=864
control_change channel=0 control=7 value=50 time=86
control_change channel=0 control=7 value=50 time=0
control_change channel=0 control=7 value=50 time=0
control_change channel=0 control=7 value=50 time=0
control_change channel=0 control=7 value=50 time=0
control_change channel=0 control=7 value=50 time=0
control_change channel=0 control=7 value=50 time=0
note_on channel=0 note=38 velocity=80 time=10
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=3648
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=42 velocity=80 time=192
note_on channel=0 note=54 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=3648
note_off channel=0 note=54 velocity=64 time=0
control_change channel=0 control=7 value=90 time=182
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
<meta message key_signature key='Bb' time=10>
note_on channel=0 note=39 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=63 velocity=80 time=48
note_on channel=0 note=58 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=63 velocity=64 time=360
note_off channel=0 note=58 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=552
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=62 velocity=80 time=48
note_on channel=0 note=57 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=62 velocity=64 time=360
note_off channel=0 note=57 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=38 velocity=80 time=0
note_off channel=0 note=50 velocity=64 time=552
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=38 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=216
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=24
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=216
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=39 velocity=80 time=24
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=63 velocity=80 time=48
note_on channel=0 note=58 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=63 velocity=64 time=360
note_off channel=0 note=58 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=552
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=48
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=45 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=45 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=39 velocity=80 time=48
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=63 velocity=80 time=48
note_on channel=0 note=58 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=63 velocity=64 time=360
note_off channel=0 note=58 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=552
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=62 velocity=80 time=48
note_on channel=0 note=57 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=62 velocity=64 time=360
note_off channel=0 note=57 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=38 velocity=80 time=0
note_off channel=0 note=50 velocity=64 time=552
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=38 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=216
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=24
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=216
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=39 velocity=80 time=24
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=432
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=63 velocity=80 time=48
note_on channel=0 note=58 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=63 velocity=64 time=360
note_off channel=0 note=58 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=552
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=60 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=77 velocity=80 time=24
note_off channel=0 note=77 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
control_change channel=0 control=7 value=60 time=14
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
control_change channel=0 control=7 value=60 time=0
note_on channel=0 note=63 velocity=80 time=10
note_off channel=0 note=63 velocity=64 time=864
note_on channel=0 note=65 velocity=80 time=96
note_off channel=0 note=65 velocity=64 time=864
note_on channel=0 note=67 velocity=80 time=96
note_off channel=0 note=67 velocity=64 time=864
note_on channel=0 note=62 velocity=80 time=96
note_off channel=0 note=62 velocity=64 time=864
note_on channel=0 note=63 velocity=80 time=96
note_off channel=0 note=63 velocity=64 time=864
note_on channel=0 note=65 velocity=80 time=96
note_off channel=0 note=65 velocity=64 time=864
note_on channel=0 note=70 velocity=80 time=96
note_off channel=0 note=70 velocity=64 time=432
note_on channel=0 note=69 velocity=80 time=48
note_off channel=0 note=69 velocity=64 time=432
note_on channel=0 note=67 velocity=80 time=48
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=65 velocity=80 time=48
note_off channel=0 note=65 velocity=64 time=432
control_change channel=0 control=7 value=90 time=38
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
note_on channel=0 note=39 velocity=80 time=10
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=57 velocity=80 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=57 velocity=80 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=24
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=58 velocity=64 time=84
note_on channel=0 note=41 velocity=80 time=12
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=24
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=62 velocity=64 time=84
note_on channel=0 note=43 velocity=80 time=12
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=62 velocity=64 time=108
note_on channel=0 note=62 velocity=80 time=12
note_off channel=0 note=43 velocity=64 time=24
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=62 velocity=64 time=84
note_on channel=0 note=38 velocity=80 time=12
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=50 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=38 velocity=64 time=24
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=84
note_on channel=0 note=39 velocity=80 time=12
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=57 velocity=80 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=57 velocity=80 time=12
note_off channel=0 note=57 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=24
note_off channel=0 note=46 velocity=64 time=0
note_off channel=0 note=58 velocity=64 time=84
note_on channel=0 note=41 velocity=80 time=12
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=108
note_on channel=0 note=60 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=24
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=60 velocity=64 time=84
note_on channel=0 note=58 velocity=80 time=12
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=45 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=45 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=48
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=432
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=46 velocity=80 time=48
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=39 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=46 velocity=64 time=24
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=84
note_on channel=0 note=48 velocity=80 time=12
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=48 velocity=64 time=24
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=53 velocity=64 time=84
note_on channel=0 note=43 velocity=80 time=12
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=108
note_on channel=0 note=55 velocity=80 time=12
note_off channel=0 note=55 velocity=64 time=108
note_on channel=0 note=43 velocity=80 time=12
note_off channel=0 note=43 velocity=64 time=108
note_on channel=0 note=55 velocity=80 time=12
note_off channel=0 note=55 velocity=64 time=108
note_on channel=0 note=43 velocity=80 time=12
note_off channel=0 note=43 velocity=64 time=108
note_on channel=0 note=55 velocity=80 time=12
note_off channel=0 note=55 velocity=64 time=108
note_on channel=0 note=43 velocity=80 time=12
note_off channel=0 note=43 velocity=64 time=108
note_on channel=0 note=55 velocity=80 time=12
note_off channel=0 note=50 velocity=64 time=24
note_off channel=0 note=55 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=84
note_on channel=0 note=45 velocity=80 time=12
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=38 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=108
note_on channel=0 note=50 velocity=80 time=12
note_off channel=0 note=50 velocity=64 time=108
note_on channel=0 note=38 velocity=80 time=12
note_off channel=0 note=38 velocity=64 time=108
note_on channel=0 note=50 velocity=80 time=12
note_off channel=0 note=50 velocity=64 time=108
note_on channel=0 note=38 velocity=80 time=12
note_off channel=0 note=38 velocity=64 time=108
note_on channel=0 note=50 velocity=80 time=12
note_off channel=0 note=50 velocity=64 time=108
note_on channel=0 note=38 velocity=80 time=12
note_off channel=0 note=38 velocity=64 time=108
note_on channel=0 note=50 velocity=80 time=12
note_off channel=0 note=45 velocity=64 time=24
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=84
note_on channel=0 note=39 velocity=80 time=12
note_on channel=0 note=46 velocity=80 time=0
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=46 velocity=64 time=24
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=84
note_on channel=0 note=48 velocity=80 time=12
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=48 velocity=64 time=24
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=53 velocity=64 time=84
note_on channel=0 note=58 velocity=80 time=12
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=57 velocity=80 time=48
note_on channel=0 note=45 velocity=80 time=0
note_off channel=0 note=57 velocity=64 time=432
note_off channel=0 note=45 velocity=64 time=0
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=50 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=50 velocity=64 time=0
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=48
note_on channel=0 note=48 velocity=80 time=0
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=432
note_off channel=0 note=48 velocity=64 time=0
note_off channel=0 note=53 velocity=64 time=0
control_change channel=0 control=7 value=90 time=38
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
note_on channel=0 note=46 velocity=80 time=10
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=39 velocity=80 time=0
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=39 velocity=80 time=12
note_off channel=0 note=39 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=46 velocity=64 time=24
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=51 velocity=64 time=84
note_on channel=0 note=41 velocity=80 time=12
